SCIENTIFIC NAME,X,Y
Cedrelinga cateniformis,185195,9569142
Cedrelinga cateniformis,183494,9573982
Cedrelinga cateniformis,182943,9573290
Cedrelinga cateniformis,183136,9572928
Cedrelinga cateniformis,183319,9573778
Cedrelinga cateniformis,183258,9573797
Cedrelinga cateniformis,180790,9558379
Cedrelinga cateniformis,180753,9558349
Cedrelinga cateniformis,180723,9558335
Cedrelinga cateniformis,180696,9558277
Cedrelinga cateniformis,180751,9558303
Cedrelinga cateniformis,181182,9558227
Cedrelinga cateniformis,187805,9480997
Cedrelinga cateniformis,187793,9481020
Cedrelinga cateniformis,187768,9481036
Cedrelinga cateniformis,187760,9481041
Cedrelinga cateniformis,187732,9481042
Cedrelinga cateniformis,187721,9481026
Cedrelinga cateniformis,187566,9481029
Cedrelinga cateniformis,187663,9480985
Cedrelinga cateniformis,187400,9480929
Cedrelinga cateniformis,187349,9481094
Cedrelinga cateniformis,187360,9480993
Cedrelinga cateniformis,187254,9480999
Cedrelinga cateniformis,187095,9480967
Cedrelinga cateniformis,187415,9481059
Cedrelinga cateniformis,186857,9481166
Cedrelinga cateniformis,187099,9481045
Cedrelinga cateniformis,187320,9481201
Cedrelinga cateniformis,187397,9481250
Cedrelinga cateniformis,187508,9481242
Cedrelinga cateniformis,187555,9481252
Cedrelinga cateniformis,187447,9481143
Cedrelinga cateniformis,187538,9481106
Cedrelinga cateniformis,187548,9481111
Cedrelinga cateniformis,187513,9481171
Cedrelinga cateniformis,187622,9481162
Cedrelinga cateniformis,187585,9481182
Cedrelinga cateniformis,187649,9481107
Cedrelinga cateniformis,187655,9481107
Cedrelinga cateniformis,187625,9480786
Cedrelinga cateniformis,188614,9488885
Cedrelinga cateniformis,188526,9488697
Cedrelinga cateniformis,188682,9488522
Cedrelinga cateniformis,189194,9488528
Cedrelinga cateniformis,189120,9488303
Cedrelinga cateniformis,189597,9487796
Cedrelinga cateniformis,189996,9489246
Cedrelinga cateniformis,188803,9490357
Cedrelinga cateniformis,188531,9492477
Cedrelinga cateniformis,190358,9490996
Cedrelinga cateniformis,198749,9495858
Cedrelinga cateniformis,198774,9495843
Cedrelinga cateniformis,200818,9496581
Cedrelinga cateniformis,200343,9496644
Cedrelinga cateniformis,201392,9498367
Cedrelinga cateniformis,185381,9463224
Cedrelinga cateniformis,185607,9463707
Cedrelinga cateniformis,185614,9463720
Cedrelinga cateniformis,185316,9463596
Cedrelinga cateniformis,185585,9463626
Cedrelinga cateniformis,185208,9463213
Cedrelinga cateniformis,185080,9462757
Cedrelinga cateniformis,185097,9462758
Cedrelinga cateniformis,184679,9462590
Cedrelinga cateniformis,184649,9462203
Cedrelinga cateniformis,183214,9461010
Cedrelinga cateniformis,183632,9460879
Cedrelinga cateniformis,184194,9460539
Cedrelinga cateniformis,168257,9449123
Cedrelinga cateniformis,181215,9458089
Cedrelinga cateniformis,202126,9499971
Cedrelinga cateniformis,202272,9499901
Cedrelinga cateniformis,202384,9499773
Cedrelinga cateniformis,202400,9499773
Cedrelinga cateniformis,202581,9499737
Cedrelinga cateniformis,202402,9499584
Cedrelinga cateniformis,202310,9499769
Cedrelinga cateniformis,202313,9499782
Cedrelinga cateniformis,202306,9499693
Cedrelinga cateniformis,202074,9499353
Cedrelinga cateniformis,200636,9499437
Cedrelinga cateniformis,200488,9499410
Cedrelinga cateniformis,201197,9499476
Cedrelinga cateniformis,201672,9499708
Cedrelinga cateniformis,200938,9499719
Cedrelinga cateniformis,174769,9520992
Cedrelinga cateniformis,174808,9521163
Cedrelinga cateniformis,174839,9521180
Cedrelinga cateniformis,174791,9520964
Cedrelinga cateniformis,179996,9518954
Cedrelinga cateniformis,179891,9518630
Cedrelinga cateniformis,180056,9519038
Cedrelinga cateniformis,186568,9525909
Cedrelinga cateniformis,186340,9526231
Cedrelinga cateniformis,185077,9526190
Cedrelinga cateniformis,182142,9525306
Cedrelinga cateniformis,185657,9529530
Cedrelinga cateniformis,185061,9529759
Cedrelinga cateniformis,180425,9519351
Cedrelinga cateniformis,180449,9519414
Cedrelinga cateniformis,180179,9520013
Cedrelinga cateniformis,182745,9524117
Cedrelinga cateniformis,182899,9523623
Cedrelinga cateniformis,183101,9522641
Cedrelinga cateniformis,182576,9522994
